"","Country","count"
"1","Afghanistan",12731
"2","Albania",80
"3","Algeria",2743
"4","Andorra",1
"5","Angola",499
"6","Antigua and Barbuda",1
"7","Argentina",815
"8","Armenia",24
"9","Australia",114
"10","Austria",115
"11","Azerbaijan",49
"12","Bahamas",5
"13","Bahrain",207
"14","Bangladesh",1648
"15","Barbados",3
"16","Belarus",13
"17","Belgium",154
"18","Belize",8
"19","Benin",8
"20","Bhutan",6
"21","Bolivia",314
"22","Bosnia and Herzegovina",159
"23","Botswana",10
"24","Brazil",273
"25","Brunei",6
"26","Bulgaria",52
"27","Burkina Faso",52
"28","Burundi",613
"29","Cambodia",259
"30","Cameroon",332
"31","Canada",96
"32","Central African Rep.",283
"33","Chad",91
"34","Chile",2365
"35","China",252
"36","Colombia",8306
"37","Comoros",5
"38","Costa Rica",67
"300","Congo",40
"39","Croatia",57
"40","Cuba",30
"41","Cyprus",132
"42","Czechia",32
"43","Slovakia",42
"44","Dem. Rep. Congo",775
"45","Denmark",41
"46","Djibouti",22
"47","Dominica",3
"48","Dominican Republic",90
"49","East Germany (GDR)",38
"50","East Timor",10
"51","Ecuador",220
"52","Egypt",2479
"53","El Salvador",5320
"54","Eq. Guinea",2
"55","Eritrea",10
"56","Estonia",16
"57","Ethiopia",190
"58","Falkland Islands",1
"59","Fiji",17
"60","Finland",20
"61","France",2693
"62","French Guiana",7
"63","French Polynesia",3
"64","Gabon",8
"65","Gambia",3
"66","Georgia",217
"67","Germany",773
"68","Ghana",19
"69","Greece",1275
"400","Greenland",0
"70","Grenada",5
"71","Guadeloupe",56
"72","Guatemala",2050
"73","Guinea",25
"74","Guinea-Bissau",9
"75","Guyana",26
"76","Haiti",213
"77","Honduras",323
"78","Hong Kong",26
"79","Hungary",46
"80","Iceland",4
"81","India",11960
"82","Indonesia",761
"83","International",1
"84","Iran",684
"85","Iraq",24636
"86","Ireland",307
"87","Israel",2183
"88","Italy",1565
"89","Cote d'Ivoire",74
"90","Jamaica",36
"91","Japan",402
"92","Jordan",113
"93","Kazakhstan",27
"94","Kenya",683
"95","Kosovo",196
"96","Kuwait",76
"97","Kyrgyzstan",35
"98","Laos",27
"99","Latvia",17
"100","Lebanon",2478
"101","Lesotho",29
"102","Liberia",34
"103","Libya",2249
"104","Lithuania",8
"105","Luxembourg",16
"106","Macau",33
"107","Macedonia",118
"108","Madagascar",27
"109","Malawi",5
"110","Malaysia",99
"111","Maldives",22
"112","Mali",566
"113","Malta",23
"114","Martinique",12
"115","Mauritania",18
"116","Mauritius",2
"117","Mexico",524
"118","Moldova",21
"119","Montenegro",5
"120","Morocco",36
"401","Mongolia",0
"121","Mozambique",363
"122","Myanmar",546
"123","Namibia",151
"124","Nepal",1215
"125","Netherlands",130
"126","New Caledonia",31
"127","New Hebrides",1
"128","New Zealand",20
"129","Nicaragua",1970
"130","Niger",154
"131","Nigeria",3907
"132","North Korea",1
"133","North Yemen",6
"134","Norway",19
"135","Pakistan",14368
"136","Panama",127
"137","Papua New Guinea",89
"138","Paraguay",114
"139","People's Republic of the Congo",4
"140","Peru",6096
"141","Philippines",6908
"142","Poland",39
"143","Portugal",140
"144","Qatar",7
"145","Republic of the Congo",36
"146","Rhodesia",83
"147","Romania",6
"148","Russia",2194
"149","Rwanda",159
"150","Saudi Arabia",371
"151","Senegal",118
"152","Serbia",12
"153","Serbia-Montenegro",11
"154","Seychelles",2
"155","Sierra Leone",101
"156","Singapore",7
"157","Slovak Republic",18
"158","Slovenia",6
"159","Solomon Islands",4
"160","Somalia",4142
"161","South Africa",2016
"162","South Korea",38
"163","S. Sudan",225
"164","South Vietnam",1
"165","South Yemen",2
"166","Soviet Union",78
"167","Spain",3249
"168","Sri Lanka",3022
"169","St. Kitts and Nevis",2
"170","St. Lucia",1
"171","Sudan",967
"172","Suriname",66
"173","Swaziland",16
"174","Sweden",132
"175","Switzerland",111
"176","Syria",2201
"177","Taiwan",50
"178","Tajikistan",188
"179","Tanzania",59
"180","Thailand",3849
"181","Togo",48
"182","Trinidad and Tobago",22
"183","Tunisia",109
"184","Turkey",4292
"185","Turkmenistan",2
"186","Uganda",394
"187","Ukraine",1709
"188","United Arab Emirates",22
"189","United Kingdom",5235
"190","United States of America",2836
"191","Uruguay",82
"192","Uzbekistan",21
"193","Vanuatu",2
"194","Vatican City",1
"195","Venezuela",293
"196","Vietnam",12
"197","Wallis and Futuna",1
"198","West Bank and Gaza Strip",2227
"199","West Germany (FRG)",541
"200","W. Sahara",5
"201","Yemen",3347
"202","Yugoslavia",203
"203","Zaire",50
"204","Zambia",62
"205","Zimbabwe",101
