Country,count,Area,Density
West Bank and Gaza Strip,2227,"6,220",0.358038585
Macau,33,115.3,0.286209887
Bahrain,207,778.0000305,0.266066828
El Salvador,5320,20720,0.256756757
Lebanon,2478,10230,0.242228739
Israel,2183,21640,0.100878004
Maldives,22,300,0.073333333
Malta,23,320,0.071875
Iraq,24636,434128.0078,0.056748239
Sri Lanka,3022,62710,0.048190081
Guadeloupe,56,"1,628",0.034398034
Hong Kong,26,1050,0.024761905
Burundi,613,25680,0.023870717
Philippines,6908,298170,0.023167991
United Kingdom,5235,241930,0.02163849
Afghanistan,12731,652860,0.019500352
Guatemala,2050,107160,0.019130272
Pakistan,14368,770880,0.018638439
Kosovo,196,"10,887",0.018003123
Nicaragua,1970,120340,0.016370284
Grenada,5,340,0.014705882
Cyprus,132,9240,0.014285714
Bangladesh,1648,130170,0.012660367
Syria,2201,183630,0.011986059
Martinique,12,"1,128",0.010638298
Greece,1275,128900,0.009891389
Singapore,7,709.0000153,0.00987306
Nepal,1215,143350,0.008475759
Haiti,213,27560,0.007728592
St. Kitts and Nevis,2,260,0.007692308
Thailand,3849,510890,0.007533911
Colombia,8306,1109500,0.007486255
Barbados,3,430,0.006976744
Somalia,4142,627340,0.00660248
Luxembourg,16,2430,0.006584362
Spain,3249,499563.9844,0.006503671
Rwanda,159,24670,0.006445075
Yemen,3347,527970,0.006339375
Turkey,4292,769630,0.005576706
Italy,1565,294140,0.005320596
Belgium,154,30280,0.005085865
France,2693,547556.9922,0.004918209
Peru,6096,1280000,0.0047625
Macedonia,118,"25,713",0.004589118
Ireland,307,68890,0.00445638
Seychelles,2,460,0.004347826
Nigeria,3907,910770,0.004289777
Trinidad and Tobago,22,5130,0.004288499
Kuwait,76,17820,0.004264871
India,11960,2973190,0.004022615
Dominica,3,750,0.004
Netherlands,130,33690,0.003858712
Germany,1314,349360,0.003761163
Jamaica,36,10830,0.0033241
Chile,2365,743532.0313,0.003180764
Georgia,217,69490,0.003122751
Bosnia and Herz.,159,51200,0.003105469
Ukraine,1709,579290,0.002950163
Albania,80,27400,0.002919708
Honduras,323,111890,0.002886764
Switzerland,111,39516.00098,0.002808989
Comoros,5,1861.000061,0.002686727
Egypt,2479,995450,0.002490331
Antigua and Barbuda,1,440,0.002272727
Andorra,1,470,0.00212766
Uganda,394,200520,0.001964891
Dominican Republic,90,48310,0.001862968
Panama,127,74340,0.001708367
New Caledonia,31,18280,0.001695842
South Africa,2016,1213090,0.001661872
St. Lucia,1,610,0.001639344
Portugal,140,91605.5957,0.001528291
Cambodia,259,176520,0.001467256
Sierra Leone,101,72180,0.00139928
Austria,115,82522.99805,0.001393551
Taiwan,50,"36,197",0.00138133
Tajikistan,188,138790,0.001354564
Costa Rica,67,51060,0.001312182
Libya,2249,1759540,0.001278175
Jordan,113,88780,0.001272809
Kenya,683,569140,0.001200056
Algeria,2743,2381740,0.001151679
Brunei,6,5270,0.00113852
Japan,402,364560,0.001102699
Croatia,57,55960,0.001018585
Mauritius,2,2030,0.000985222
Denmark,41,41990,0.000976423
Lesotho,29,30360,0.000955204
Djibouti,22,23180,0.000949094
Fiji,17,18270,0.000930487
eSwatini,16,"17,364",0.000921447
Ecuador,220,248360,0.000885811
Togo,48,54390,0.000882515
Armenia,24,28470,0.000842993
Myanmar,546,653080,0.000836038
French Polynesia,3,3660,0.000819672
Cameroon,332,472710,0.000702333
Tunisia,109,155360,0.000701596
East Timor,10,14870,0.000672495
Moldova,21,32890,0.000638492
Senegal,118,192530,0.000612891
Qatar,7,11610,0.000602929
Azerbaijan,49,82670,0.000592718
Slovakia,42,77220,0.000543901
Sudan,967,1886068,0.000512707
Hungary,46,90530,0.000508119
Bahamas,5,10010,0.0004995
Bulgaria,52,108560,0.000478998
Zimbabwe,184,386850,0.000475637
Uruguay,82,175020,0.000468518
Mali,566,1220190,0.000463862
Mozambique,363,786380,0.000461609
Central African Rep.,283,622980,0.000454268
Suriname,66,156000,0.000423077
Indonesia,761,1811570,0.000420078
Iran,684,1628760,0.000419951
Czechia,32,77220,0.0004144
Angola,499,1246700,0.000400257
South Korea,38,"100,363",0.000378626
Slovak Republic,18,48080,0.000374376
Montenegro,5,13450,0.000371747
Estonia,16,43470,0.00036807
Dem. Rep. Congo,825,2267050,0.000363909
S. Sudan,225,"619,745",0.000363053
Liberia,34,96320,0.00035299
Belize,8,22810,0.000350723
Venezuela,293,882050,0.000332181
Sweden,132,407310,0.000324077
Guinea-Bissau,9,28120,0.000320057
United States of America,2836,9147420,0.000310033
United Arab Emirates,22,71020,0.000309772
Malaysia,99,328550,0.000301324
Slovenia,6,20141.99951,0.000297885
Argentina,815,2736690,0.000297805
Gambia,3,10120,0.000296443
Bolivia,314,1083300,0.000289855
Cuba,30,104020,0.000288406
Paraguay,114,397300,0.000286937
Latvia,17,62180,0.0002734
Mexico,524,1943950,0.000269554
Côte d'Ivoire,74,318000,0.000232704
Papua New Guinea,89,452860,0.000196529
Burkina Faso,52,273600,0.000190058
Ethiopia,190,1000000,0.00019
Namibia,151,823290,0.00018341
Kyrgyzstan,35,191800,0.000182482
Saudi Arabia,371,2149690,0.000172583
Vanuatu,2,12190,0.000164069
Bhutan,6,38143.99902,0.000157299
Solomon Islands,4,27990,0.000142908
Russia,2272,16376870,0.000138732
Serbia,12,87460,0.000137206
Guyana,26,196850,0.00013208
Lithuania,8,62642.00195,0.00012771
Poland,39,306190,0.000127372
Niger,154,1266700,0.000121576
Congo,40,341500,0.00011713
Laos,27,230800,0.000116984
Republic of the Congo,40,"342,000",0.000116959
Guinea,25,245720,0.000101742
Eritrea,10,101000,9.90099E-05
French Guiana,7,83534,8.37982E-05
Ghana,19,227540,8.35018E-05
Zambia,62,743390,8.34017E-05
Falkland Islands,1,12200,8.19672E-05
Morocco,36,446300,8.06632E-05
New Zealand,20,263310,7.59561E-05
Chad,91,1259200,7.22681E-05
Eq. Guinea,2,28050,7.13012E-05
Benin,8,112760,7.09471E-05
Tanzania,59,885800,6.66065E-05
Finland,20,303910,6.5809E-05
Belarus,13,202988.0078,6.40432E-05
Malawi,5,94280,5.30335E-05
Norway,19,365123.0078,5.20373E-05
Uzbekistan,21,425400,4.93653E-05
Madagascar,27,581800,4.64077E-05
Iceland,4,100250,3.99002E-05
Vietnam,12,310070,3.87009E-05
Brazil,273,8358140,3.26628E-05
Gabon,8,257670,3.10475E-05
North Yemen,6,"195,000",3.07692E-05
China,252,9388210,2.68422E-05
Romania,6,230080,2.60779E-05
