country,latitude,longitude,name
AF,33.93911,67.709953,Afghanistan
AZ,40.143105,47.576927,Azerbaijan
IQ,33.223191,43.679291,Iraq
IR,32.427908,53.688046,Iran
JO,30.585164,36.238414,Jordan
KG,41.20438,74.766098,Kyrgyzstan
LB,33.854721,35.862285,Lebanon
PK,30.375321,69.345116,Pakistan
SY,34.802075,38.996815,Syria
TJ,38.861034,71.276093,Tajikistan
TM,38.969719,59.556278,Turkmenistan
TR,38.963745,35.243322,Turkey
UZ,41.377491,64.585262,Uzbekistan
PS,31.952162,35.233154,Palestinian Territories

