iyear,country_txt,latitude,longitude,nkill
2005,Turkey,38.324368,26.303357,0
1988,Turkey,38.279676,26.376442,0
1992,Turkey,41.677005,26.555654,0
2012,Turkey,38.670426,26.756945,2
2012,Turkey,38.670426,26.756945,0
1990,Turkey,39.587255,26.92452,3
1992,Turkey,38.63686,27.008823,7
1970,Turkey,38.395649,27.135641,0
1971,Turkey,38.395649,27.135641,0
1971,Turkey,38.395649,27.135641,0
1971,Turkey,38.395649,27.135641,0
1971,Turkey,38.395649,27.135641,0
1976,Turkey,38.395649,27.135641,0
1976,Turkey,38.395649,27.135641,0
1976,Turkey,38.395649,27.135641,0
1976,Turkey,38.395649,27.135641,0
1976,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,1
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1977,Turkey,38.395649,27.135641,0
1978,Turkey,38.395649,27.135641,0
1978,Turkey,38.395649,27.135641,0
1978,Turkey,38.395649,27.135641,0
1978,Turkey,38.395649,27.135641,0
1978,Turkey,38.395649,27.135641,0
1978,Turkey,38.395649,27.135641,0
1978,Turkey,38.395649,27.135641,0
1979,Turkey,38.395649,27.135641,0
1979,Turkey,38.395649,27.135641,0
1979,Turkey,38.395649,27.135641,1
1979,Turkey,38.395649,27.135641,4
1980,Turkey,38.395649,27.135641,0
1980,Turkey,38.395649,27.135641,0
1980,Turkey,38.395649,27.135641,0
1980,Turkey,38.395649,27.135641,1
1980,Turkey,38.395649,27.135641,1
1980,Turkey,38.395649,27.135641,1
1980,Turkey,38.395649,27.135641,2
1983,Turkey,38.395649,27.135641,0
