,iyear,country_txt,latitude,longitude,nkill,gname
9350,2005,Turkey,38.324368,26.303357,0,Other
2555,1988,Turkey,38.279676,26.376442,0,Kurdistan Workers' Party (PKK)
4366,1992,Turkey,41.677005,26.555654,0,Kurdistan Workers' Party (PKK)
26019,2012,Turkey,38.670426,26.756945,2,Other
26020,2012,Turkey,38.670426,26.756945,0,Other
3268,1990,Turkey,39.587255,26.92452,3,Kurdistan Workers' Party (PKK)
4737,1992,Turkey,38.63686,27.008823,7,Kurdistan Workers' Party (PKK)
13,1970,Turkey,38.395649,27.135641,0,Other
31,1971,Turkey,38.395649,27.135641,0,Other
32,1971,Turkey,38.395649,27.135641,0,Other
47,1971,Turkey,38.395649,27.135641,0,Unknown
60,1971,Turkey,38.395649,27.135641,0,Unknown
177,1976,Turkey,38.395649,27.135641,0,Unknown
198,1976,Turkey,38.395649,27.135641,0,Unknown
200,1976,Turkey,38.395649,27.135641,0,Unknown
209,1976,Turkey,38.395649,27.135641,0,Unknown
210,1976,Turkey,38.395649,27.135641,0,Unknown
222,1977,Turkey,38.395649,27.135641,0,Other
226,1977,Turkey,38.395649,27.135641,0,Unknown
227,1977,Turkey,38.395649,27.135641,0,Unknown
228,1977,Turkey,38.395649,27.135641,0,Unknown
240,1977,Turkey,38.395649,27.135641,0,Unknown
245,1977,Turkey,38.395649,27.135641,0,Unknown
251,1977,Turkey,38.395649,27.135641,0,Unknown
252,1977,Turkey,38.395649,27.135641,0,Other
253,1977,Turkey,38.395649,27.135641,1,Unknown
258,1977,Turkey,38.395649,27.135641,0,Unknown
259,1977,Turkey,38.395649,27.135641,0,Unknown
270,1977,Turkey,38.395649,27.135641,0,Unknown
272,1977,Turkey,38.395649,27.135641,0,Unknown
275,1977,Turkey,38.395649,27.135641,0,Unknown
298,1977,Turkey,38.395649,27.135641,0,Other
357,1977,Turkey,38.395649,27.135641,0,Unknown
358,1977,Turkey,38.395649,27.135641,0,Unknown
365,1977,Turkey,38.395649,27.135641,0,Unknown
371,1977,Turkey,38.395649,27.135641,0,Unknown
372,1977,Turkey,38.395649,27.135641,0,Unknown
373,1977,Turkey,38.395649,27.135641,0,Unknown
389,1977,Turkey,38.395649,27.135641,0,Unknown
390,1977,Turkey,38.395649,27.135641,0,Unknown
391,1977,Turkey,38.395649,27.135641,0,Unknown
423,1978,Turkey,38.395649,27.135641,0,Other
428,1978,Turkey,38.395649,27.135641,0,Other
482,1978,Turkey,38.395649,27.135641,0,Unknown
485,1978,Turkey,38.395649,27.135641,0,Unknown
507,1978,Turkey,38.395649,27.135641,0,Unknown
508,1978,Turkey,38.395649,27.135641,0,Unknown
509,1978,Turkey,38.395649,27.135641,0,Unknown
547,1979,Turkey,38.395649,27.135641,0,Unknown
549,1979,Turkey,38.395649,27.135641,0,Unknown
596,1979,Turkey,38.395649,27.135641,1,Unknown
713,1979,Turkey,38.395649,27.135641,4,Unknown
872,1980,Turkey,38.395649,27.135641,0,Other
874,1980,Turkey,38.395649,27.135641,0,Other
879,1980,Turkey,38.395649,27.135641,0,Other
884,1980,Turkey,38.395649,27.135641,1,Unknown
885,1980,Turkey,38.395649,27.135641,1,Other
958,1980,Turkey,38.395649,27.135641,1,Other
982,1980,Turkey,38.395649,27.135641,2,Unknown
1741,1983,Turkey,38.395649,27.135641,0,Unknown
2438,1987,Turkey,38.395649,27.135641,0,Unknown
2708,1988,Turkey,38.395649,27.135641,0,Unknown
2999,1989,Turkey,38.395649,27.135641,0,Unknown
3584,1991,Turkey,38.395649,27.135641,1,Unknown
3602,1991,Turkey,38.395649,27.135641,0,Other
3605,1991,Turkey,38.395649,27.135641,0,Other
3606,1991,Turkey,38.395649,27.135641,0,Other
3625,1991,Turkey,38.395649,27.135641,0,Other
3651,1991,Turkey,38.395649,27.135641,0,Other
3663,1991,Turkey,38.395649,27.135641,0,Other
3664,1991,Turkey,38.395649,27.135641,1,Unknown
3669,1991,Turkey,38.395649,27.135641,1,Other
3671,1991,Turkey,38.395649,27.135641,2,Other
3680,1991,Turkey,38.395649,27.135641,1,Other
3694,1991,Turkey,38.395649,27.135641,0,Other
3700,1991,Turkey,38.395649,27.135641,0,Other
3723,1991,Turkey,38.395649,27.135641,2,Other
3735,1991,Turkey,38.395649,27.135641,0,Other
3736,1991,Turkey,38.395649,27.135641,0,Other
3755,1991,Turkey,38.395649,27.135641,0,Other
3756,1991,Turkey,38.395649,27.135641,0,Other
3792,1991,Turkey,38.395649,27.135641,0,Unknown
3866,1991,Turkey,38.395649,27.135641,0,Other
3867,1991,Turkey,38.395649,27.135641,0,Other
4318,1992,Turkey,38.395649,27.135641,2,Unknown
4363,1992,Turkey,38.395649,27.135641,0,Unknown
4364,1992,Turkey,38.395649,27.135641,0,Unknown
4365,1992,Turkey,38.395649,27.135641,0,Unknown
4388,1992,Turkey,38.395649,27.135641,3,Other
4574,1992,Turkey,38.395649,27.135641,0,Other
4583,1992,Turkey,38.395649,27.135641,0,Other
4766,1992,Turkey,38.395649,27.135641,0,Unknown
4787,1992,Turkey,38.395649,27.135641,0,Unknown
5448,1994,Turkey,38.395649,27.135641,1,Unknown
6264,1995,Turkey,38.395649,27.135641,5,Unknown
6279,1995,Turkey,38.395649,27.135641,0,Unknown
6473,1995,Turkey,38.395649,27.135641,0,Unknown
6914,1997,Turkey,38.395649,27.135641,0,Other
7715,2001,Turkey,38.395649,27.135641,0,Unknown
8675,2004,Turkey,38.395649,27.135641,0,Unknown
10156,2006,Turkey,38.395649,27.135641,0,Other
10923,2006,Turkey,38.395649,27.135641,0,Unknown
12280,2007,Turkey,38.395649,27.135641,1,Unknown
12648,2007,Turkey,38.395649,27.135641,0,Unknown
47099,2015,Turkey,38.395649,27.135641,0,Kurdistan Workers' Party (PKK)
56954,2016,Turkey,38.395649,27.135641,0,Unknown
57296,2016,Turkey,38.395649,27.135641,0,Unknown
60114,2017,Turkey,38.395649,27.135641,0,Unknown
57614,2017,Turkey,38.478577,27.139976,4,Other
