"","region_txt","date","sum"
"1","Australasia & Oceania",1970-10-01 10:00:00,0
"2","Australasia & Oceania",1971-11-01 11:00:00,0
"3","Australasia & Oceania",1972-09-01 10:00:00,0
"4","Australasia & Oceania",1972-12-01 11:00:00,1
"5","Australasia & Oceania",1973-08-01 10:00:00,0
"6","Australasia & Oceania",1974-12-01 11:00:00,0
"7","Australasia & Oceania",1978-02-01 11:00:00,2
"8","Australasia & Oceania",1978-05-01 10:00:00,0
"9","Australasia & Oceania",1979-01-01 11:00:00,0
"10","Australasia & Oceania",1979-04-01 10:00:00,0
"11","Australasia & Oceania",1980-06-01 10:00:00,0
"12","Australasia & Oceania",1980-11-01 11:00:00,0
"13","Australasia & Oceania",1980-12-01 11:00:00,2
"14","Australasia & Oceania",1981-08-01 10:00:00,0
"15","Australasia & Oceania",1981-11-01 11:00:00,1
"16","Australasia & Oceania",1982-12-01 11:00:00,0
"17","Australasia & Oceania",1984-03-01 11:00:00,1
"18","Australasia & Oceania",1984-11-01 11:00:00,1
"19","Australasia & Oceania",1984-12-01 11:00:00,10
"20","Australasia & Oceania",1985-05-01 10:00:00,0
"21","Australasia & Oceania",1985-11-01 11:00:00,0
"22","Australasia & Oceania",1985-12-01 11:00:00,0
"23","Australasia & Oceania",1986-02-01 11:00:00,0
"24","Australasia & Oceania",1986-03-01 11:00:00,0
"25","Australasia & Oceania",1986-04-01 10:00:00,0
"26","Australasia & Oceania",1986-11-01 11:00:00,1
"27","Australasia & Oceania",1987-05-01 10:00:00,0
"28","Australasia & Oceania",1987-07-01 10:00:00,0
"29","Australasia & Oceania",1987-10-01 10:00:00,0
"30","Australasia & Oceania",1988-02-01 11:00:00,0
"31","Australasia & Oceania",1988-04-01 10:00:00,4
"32","Australasia & Oceania",1988-05-01 10:00:00,17
"33","Australasia & Oceania",1988-06-01 10:00:00,1
"34","Australasia & Oceania",1988-07-01 10:00:00,0
"35","Australasia & Oceania",1988-12-01 11:00:00,0
"36","Australasia & Oceania",1989-01-01 11:00:00,0
"37","Australasia & Oceania",1989-03-01 11:00:00,2
"38","Australasia & Oceania",1989-05-01 10:00:00,2
"39","Australasia & Oceania",1989-06-01 10:00:00,1
"40","Australasia & Oceania",1989-07-01 10:00:00,3
"41","Australasia & Oceania",1989-08-01 10:00:00,0
"42","Australasia & Oceania",1989-09-01 10:00:00,4
"43","Australasia & Oceania",1989-10-01 10:00:00,0
"44","Australasia & Oceania",1989-11-01 11:00:00,0
"45","Australasia & Oceania",1989-12-01 11:00:00,3
"46","Australasia & Oceania",1990-01-01 11:00:00,11
"47","Australasia & Oceania",1990-02-01 11:00:00,1
"48","Australasia & Oceania",1990-03-01 11:00:00,0
"49","Australasia & Oceania",1990-11-01 11:00:00,0
"50","Australasia & Oceania",1991-01-01 11:00:00,0
"51","Australasia & Oceania",1991-02-01 11:00:00,2
"52","Australasia & Oceania",1991-03-01 11:00:00,1
"53","Australasia & Oceania",1991-05-01 10:00:00,0
