weaptype1,nkill
Unknown,1
Unknown,0
Unknown,1
Explosives,0
Incendiary,0
Firearms,0
Firearms,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Incendiary,0
Firearms,0
Incendiary,0
Incendiary,0
Explosives,0
Unknown,1
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Firearms,0
Explosives,0
Explosives,0
Incendiary,0
Unknown,1
Explosives,0
Unknown,0
Explosives,0
Incendiary,0
Firearms,0
Explosives,0
Firearms,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Unknown,0
Explosives,0
Incendiary,0
Firearms,0
Incendiary,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Incendiary,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Firearms,1
Incendiary,0
Explosives,0
Incendiary,7
Explosives,0
Explosives,0
Incendiary,0
Explosives,1
Explosives,0
Explosives,0
Firearms,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,47
Incendiary,0
Incendiary,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Firearms,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Incendiary,0
Unknown,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Firearms,2
Firearms,0
Explosives,0
Explosives,0
Incendiary,0
Chemical,0
Incendiary,0
Explosives,0
Explosives,2
Explosives,0
Explosives,0
Incendiary,0
Unknown,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Unknown,0
Explosives,0
Explosives,0
Firearms,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Incendiary,0
Firearms,1
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Unknown,1
Unknown,0
Unknown,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Unknown,0
Explosives,0
Incendiary,0
Incendiary,0
Unknown,1
Explosives,0
Explosives,0
Explosives,0
Unknown,0
Explosives,0
Incendiary,0
Incendiary,0
Unknown,2
Explosives,0
Firearms,1
Explosives,0
Explosives,0
Incendiary,0
Unknown,0
Firearms,0
Explosives,0
Incendiary,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Firearms,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,36
Incendiary,0
Explosives,0
Incendiary,0
Incendiary,0
Incendiary,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Firearms,1
Explosives,0
Firearms,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Incendiary,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Firearms,1
Incendiary,0
Explosives,0
Incendiary,0
Incendiary,0
Incendiary,0
Incendiary,0
Explosives,0
Incendiary,0
Explosives,0
Incendiary,0
Explosives,0
Incendiary,0
Incendiary,0
Incendiary,0
Incendiary,0
Incendiary,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Firearms,1
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Firearms,0
Firearms,0
Explosives,1
Explosives,0
Incendiary,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Melee,0
Firearms,1
Explosives,0
Incendiary,0
Incendiary,0
Incendiary,0
Explosives,0
Incendiary,0
Incendiary,0
Firearms,1
Explosives,0
Explosives,0
Incendiary,0
Unknown,1
Firearms,0
Explosives,0
Sabotage Equipment,0
Explosives,0
Firearms,1
Explosives,1
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Firearms,0
Firearms,0
Chemical,0
Explosives,0
Unknown,0
Unknown,0
Explosives,0
Explosives,0
Explosives,0
Unknown,0
Explosives,0
Explosives,0
Firearms,0
Firearms,0
Incendiary,0
Firearms,0
Unknown,1
Unknown,1
Explosives,0
Explosives,0
Unknown,0
Explosives,0
Firearms,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Firearms,1
Firearms,1
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,5
Firearms,3
Firearms,1
Firearms,1
Firearms,3
Firearms,0
Explosives,0
Explosives,0
Firearms,1
Incendiary,0
Incendiary,0
Incendiary,0
Incendiary,0
Explosives,0
Incendiary,0
Unknown,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,1
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Firearms,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Incendiary,0
Unknown,0
Unknown,0
Firearms,1
Explosives,0
Incendiary,0
Incendiary,0
Incendiary,0
Incendiary,0
Incendiary,0
Firearms,2
Explosives,0
Incendiary,0
Unknown,0
Explosives,0
Explosives,0
Explosives,0
Firearms,0
Explosives,0
Incendiary,0
Unknown,0
Explosives,0
Unknown,0
Incendiary,0
Explosives,1
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Unknown,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Unknown,0
Unknown,0
Unknown,1
Firearms,0
Firearms,0
Firearms,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Firearms,1
Explosives,0
Firearms,1
Explosives,0
Incendiary,0
Firearms,4
Firearms,0
Incendiary,0
Explosives,2
Explosives,0
Explosives,0
Firearms,1
Explosives,1
Explosives,0
Incendiary,0
Unknown,0
Explosives,0
Incendiary,0
Firearms,1
Firearms,0
Incendiary,0
Explosives,0
Incendiary,0
Explosives,1
Unknown,0
Incendiary,0
Explosives,0
Incendiary,0
Explosives,0
Incendiary,0
Explosives,0
Incendiary,0
Incendiary,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Unknown,0
Incendiary,2
Firearms,0
Explosives,2
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,1
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Unknown,0
Firearms,0
Firearms,1
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Unknown,0
Explosives,0
Unknown,0
Unknown,0
Incendiary,0
Incendiary,0
Firearms,0
Firearms,1
Explosives,0
Firearms,1
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Unknown,0
Explosives,0
Explosives,0
Firearms,1
Firearms,0
Incendiary,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Unknown,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Firearms,1
Unknown,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Incendiary,0
Incendiary,0
Incendiary,0
Explosives,0
Incendiary,0
Explosives,0
Explosives,0
Explosives,0
Explosives,0
Incendiary,0
Explosives,0
Firearms,0
